Play Code,Induction,Act 1,Act 2,Act 3,Act 4,Act 5,Total
AWW,0,2,2,8,2,3,17
Ant,0,1,8,3,10,2,24
AYL,0,1,0,0,0,1,2
Err,0,0,0,0,0,0,0
Cor,0,15,7,1,1,5,29
Cym,0,0,2,0,1,4,7
Ham,0,3,2,3,0,6,14
1H4,0,0,0,1,1,7,9
2H4,0,0,0,0,2,2,4
H5,0,1,4,7,7,2,21
1H6,0,14,5,14,9,6,48
2H6,0,6,5,2,9,6,28
3H6,0,9,11,2,8,18,48
H8,0,7,1,0,6,3,17
JC,0,7,2,1,3,12,25
Jn,0,0,2,3,0,2,7
Lr,0,4,4,6,3,14,31
LLL,0,0,0,0,0,2,2
Mac,0,8,2,3,7,15,35
MM,0,0,0,0,0,0,0
MV,0,0,0,0,0,2,2
Wiv,0,0,0,1,0,2,3
MND,0,0,0,0,3,0,3
Ado,0,0,2,0,0,1,3
Oth,0,0,4,1,2,0,7
Per,0,1,0,2,0,0,3
R2,0,5,0,3,0,1,9
R3,0,0,1,2,5,7,15
Rom,0,1,0,0,1,0,2
Shr,3,1,0,3,0,0,7
Tmp,0,2,4,5,3,1,15
Tim,0,6,0,1,3,3,13
Tit,0,11,2,0,1,4,18
Tro,0,7,0,3,6,6,22
TN,0,1,3,2,0,0,6
TGV,0,0,0,0,1,0,1
TNK,1,6,2,9,0,15,33
WT,0,0,0,2,1,1,4
